Year,DA_Profit,FCR_Revenue,AFRR_Revenue,Total_Profit
2029,25905.67040516542,67270.43078456735,2831221.1787844123,2924397.279974145
2030,53525.66623825279,80829.27535850777,2673464.6734688203,2807819.615065581
2031,92502.30132417614,117200.72630396837,2424617.084021111,2634320.1116492553
2032,86810.89567256137,120035.1974611296,2320987.9764426434,2527834.069576334
2033,150429.5103739141,149137.69546850515,2051900.4924640846,2351467.698306504
2034,183134.28495980322,170739.50025980902,1767196.7944446167,2121070.579664229
2035,206921.32549309472,178150.32331159955,1587633.6685110277,1972705.317315722
2036,243408.19713900256,190893.40398814573,1317606.7584188308,1751908.3595459792
2037,280032.6933483705,197597.81807200323,1126893.26170261,1604523.7731229838
2038,299522.7675271828,195632.90173212084,1021004.6165028829,1516160.2857621866
2039,352940.74937915633,200533.03660940105,791137.6475867458,1344611.4335753033
2040,393180.97891489125,195232.02332075674,616691.5563583955,1205104.5585940434
2041,431112.5840100768,180592.73888907267,452119.6515139676,1063824.9744131172
2042,452551.4647622637,166791.45176616774,338522.16409405414,957865.0806224857
2043,491388.66735738795,141306.38494219576,227200.6282416457,859895.6805412294
